alpha_param,beta_param,gamma_param,lambda_param,delta_param,r,k,acc
10.0,0.01,0.001,0.0001,1e-05,0.05,166.0,0.7015329125338142
10.0,0.01,0.001,0.0001,1e-06,0.05,166.0,0.7051397655545536
10.0,0.01,0.001,1e-05,0.01,0.05,166.0,0.7006311992786294
10.0,0.01,0.001,1e-06,1e-06,0.05,166.0,0.7051397655545536
10.0,0.01,0.0001,0.01,0.01,0.05,166.0,0.7039374812143072
10.0,0.01,0.0001,0.001,1e-06,0.05,166.0,0.7102494740006011
10.0,0.01,0.0001,1e-05,0.1,0.05,166.0,0.7117523294259093
10.0,0.01,0.0001,1e-06,0.01,0.05,166.0,0.7033363390441839
10.0,0.01,1e-05,0.1,1e-05,0.05,166.0,0.7219717463180042
10.0,0.01,1e-05,0.01,0.01,0.05,166.0,0.7144574691914638
10.0,0.01,1e-05,0.01,0.0001,0.05,166.0,0.7000300571085062
10.0,0.01,1e-05,0.0001,0.001,0.05,166.0,0.7054403366396153
10.0,0.01,1e-05,1e-05,0.1,0.05,166.0,0.7105500450856628
10.0,0.01,1e-05,1e-05,1e-06,0.05,166.0,0.7024346257889991
10.0,0.01,1e-06,0.01,0.01,0.05,166.0,0.7069431920649234
10.0,0.01,1e-06,0.01,1e-06,0.05,166.0,0.7156597535317103
10.0,0.01,1e-06,0.001,0.1,0.05,166.0,0.718966035467388
10.0,0.01,1e-06,0.001,0.001,0.05,166.0,0.7042380522993688
10.0,0.01,1e-06,1e-05,0.1,0.05,166.0,0.7168620378719567
10.0,0.01,1e-06,1e-06,0.01,0.05,166.0,0.7006311992786294
10.0,0.001,0.1,0.1,0.1,0.05,166.0,0.7081454764051698
10.0,0.001,0.1,0.1,0.001,0.05,166.0,0.7126540426810941
10.0,0.001,0.1,0.1,1e-06,0.05,166.0,0.711151187255786
10.0,0.001,0.1,0.001,0.01,0.05,166.0,0.7078449053201082
10.0,0.001,0.1,0.0001,0.001,0.05,166.0,0.7027351968740607
10.0,0.001,0.01,0.1,0.01,0.05,166.0,0.7060414788097386
10.0,0.001,0.01,0.1,1e-06,0.05,166.0,0.700931770363691
10.0,0.001,0.01,0.01,0.01,0.05,166.0,0.7117523294259093
